	Locations	Locations_Group	Weight_g	Length_mm	sample_type	Fishname	Locationtype_fishtype	location_sampletype	sampletype_speciestype
S159	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S160	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S161	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S162	Lake_Ontario	3	NA	NA	Skin	White_Sucker	Lake_OntarioWhite_Sucker	Lake_OntarioSkin	SkinWhite_Sucker
S163	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S164	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S165	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S166	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S167	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S168	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S169	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S170	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S171	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S172	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S173	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S174	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S175	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S176	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S177	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S178	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S179	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S180	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S182	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S183	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S184	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S185	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S186	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S187	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S188	Lake_Ontario	3	NA	NA	Skin	Gizzard_Shad	Lake_OntarioGizzard_Shad	Lake_OntarioSkin	SkinGizzard_Shad
S189	Lake_Ontario	3	NA	NA	Skin	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum
S190	Lake_Ontario	3	NA	NA	Skin	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioSkin	SkinPumpkinseed
S191	Lake_Ontario	3	NA	NA	Skin	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass
S192	Lake_Ontario	3	NA	NA	Skin	Gizzard_Shad	Lake_OntarioGizzard_Shad	Lake_OntarioSkin	SkinGizzard_Shad
S193	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S194	Lake_Ontario	3	NA	NA	Skin	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass
S195	Lake_Ontario	3	NA	NA	Skin	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass
S196	Lake_Ontario	3	NA	NA	Skin	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch
S197	Lake_Ontario	3	NA	NA	Skin	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass
S198	Lake_Ontario	3	NA	NA	Skin	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioSkin	SkinPumpkinseed
S199	Lake_Ontario	3	NA	NA	Skin	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch
S200	Lake_Ontario	3	NA	NA	Skin	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye
S201	Lake_Ontario	3	NA	NA	Skin	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioSkin	SkinPumpkinseed
S202	Lake_Ontario	3	NA	NA	Skin	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch
S203	Lake_Ontario	3	NA	NA	Skin	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch
S204	Lake_Ontario	3	NA	NA	Skin	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch
S205	Lake_Ontario	3	NA	NA	Skin	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioSkin	SkinPumpkinseed
S206	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S207	Lake_Ontario	3	NA	NA	Skin	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye
S208	Lake_Ontario	3	NA	NA	Skin	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch
S209	Lake_Ontario	3	NA	NA	Skin	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch
S210	Lake_Ontario	3	NA	NA	Skin	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch
S211	Lake_Ontario	3	NA	NA	Skin	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch
S212	Lake_Ontario	3	NA	NA	Skin	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch
S213	Lake_Ontario	3	NA	NA	Skin	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum
S214	Lake_Ontario	3	NA	NA	Skin	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye
S215	Lake_Ontario	3	NA	NA	Skin	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum
S216	Lake_Ontario	3	NA	NA	Skin	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum
S217	Lake_Ontario	3	NA	NA	Skin	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass
S218	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S219	Lake_Ontario	3	NA	NA	Skin	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass
S220	Lake_Ontario	3	NA	NA	Skin	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass
S221	Lake_Ontario	3	NA	NA	Skin	Pumpkinseed	Lake_OntarioPumpkinseed	Lake_OntarioSkin	SkinPumpkinseed
S222	Lake_Ontario	3	NA	NA	Skin	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass
S223	Lake_Ontario	3	NA	NA	Skin	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass
S224	Lake_Ontario	3	NA	NA	Skin	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass
S225	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S226	Lake_Ontario	3	NA	NA	Skin	White_Bass	Lake_OntarioWhite_Bass	Lake_OntarioSkin	SkinWhite_Bass
S227	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S228	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S229	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S230	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S233	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S234	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S235	Lake_Ontario	3	NA	NA	Skin	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye
S236	Lake_Ontario	3	NA	NA	Skin	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye
S237	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S238	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S239	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S240	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S241	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S242	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S243	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S245	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S246	Lake_Ontario	3	NA	NA	Skin	Walleye	Lake_OntarioWalleye	Lake_OntarioSkin	SkinWalleye
S247	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S249	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S251	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S252	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S253	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S254	Lake_Ontario	3	NA	NA	Skin	Brown_Trout	Lake_OntarioBrown_Trout	Lake_OntarioSkin	SkinBrown_Trout
S255	Lake_Ontario	3	NA	NA	Skin	Yellow_Perch	Lake_OntarioYellow_Perch	Lake_OntarioSkin	SkinYellow_Perch
S256	Lake_Ontario	3	NA	NA	Skin	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum
S257	Lake_Ontario	3	NA	NA	Skin	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum
S258	Lake_Ontario	3	NA	NA	Skin	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum
S259	Lake_Ontario	3	NA	NA	Skin	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum
S260	Lake_Ontario	3	NA	NA	Skin	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum
S261	Lake_Ontario	3	NA	NA	Skin	White_Sucker	Lake_OntarioWhite_Sucker	Lake_OntarioSkin	SkinWhite_Sucker
S262	Lake_Ontario	3	NA	NA	Skin	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch
S263	Lake_Ontario	3	NA	NA	Skin	White_Perch	Lake_OntarioWhite_Perch	Lake_OntarioSkin	SkinWhite_Perch
S264	Lake_Ontario	3	NA	NA	Skin	Freshwater_Drum	Lake_OntarioFreshwater_Drum	Lake_OntarioSkin	SkinFreshwater_Drum
S265	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S266	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S267	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S268	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S269	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S270	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S271	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S272	Lake_Ontario	3	NA	NA	Skin	Lake_Trout	Lake_OntarioLake_Trout	Lake_OntarioSkin	SkinLake_Trout
S273	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S274	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S275	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S276	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S278	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S279	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S280	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S281	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S282	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S283	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S284	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S285	Lake_Ontario	3	NA	NA	Skin	Alewife	Lake_OntarioAlewife	Lake_OntarioSkin	SkinAlewife
S286	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S287	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S288	Lake_Ontario	3	NA	NA	Skin	Round_Goby	Lake_OntarioRound_Goby	Lake_OntarioSkin	SkinRound_Goby
S289	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S290	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S291	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S292	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S293	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S294	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S295	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S296	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S297	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S298	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S299	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S300	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S301	Lake_Erie	2	NA	NA	Skin	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass
S302	Lake_Erie	2	NA	NA	Skin	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby
S303	Lake_Erie	2	NA	NA	Skin	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby
S304	Lake_Erie	2	NA	NA	Skin	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby
S305	Lake_Erie	2	NA	NA	Skin	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby
S306	Lake_Erie	2	NA	NA	Skin	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby
S307	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S308	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S309	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S310	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S311	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S312	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S313	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S314	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S315	Lake_Erie	2	NA	NA	Skin	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass
S316	Lake_Erie	2	NA	NA	Skin	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass
S317	Lake_Erie	2	NA	NA	Skin	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass
S318	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S319	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S320	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S321	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S322	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S323	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S324	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S325	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S327	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S328	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S329	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S330	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S331	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S332	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S333	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S334	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S335	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S336	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S337	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S338	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S339	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S340	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S341	Lake_Erie	2	NA	NA	Skin	White_Perch	Lake_ErieWhite_Perch	Lake_ErieSkin	SkinWhite_Perch
S343	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S344	Lake_Erie	2	NA	NA	Skin	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass
S345	Lake_Erie	2	NA	NA	Skin	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass
S346	Lake_Erie	2	NA	NA	Skin	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass
S347	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S348	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S349	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S350	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S351	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S352	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S353	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S354	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S355	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S356	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S357	Lake_Erie	2	NA	NA	Skin	Walleye	Lake_ErieWalleye	Lake_ErieSkin	SkinWalleye
S358	Lake_Erie	2	NA	NA	Skin	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby
S359	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S360	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S361	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S362	Lake_Erie	2	NA	NA	Skin	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass
S363	Lake_Erie	2	NA	NA	Skin	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass
S364	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S365	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S366	Lake_Erie	2	NA	NA	Skin	Yellow_Perch	Lake_ErieYellow_Perch	Lake_ErieSkin	SkinYellow_Perch
S367	Lake_Erie	2	NA	NA	Skin	White_Bass	Lake_ErieWhite_Bass	Lake_ErieSkin	SkinWhite_Bass
S368	Lake_Erie	2	NA	NA	Skin	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby
S369	Lake_Erie	2	NA	NA	Skin	Round_Goby	Lake_ErieRound_Goby	Lake_ErieSkin	SkinRound_Goby
S370	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S371	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
S372	Lake_Erie	2	NA	NA	Skin	Freshwater_Drum	Lake_ErieFreshwater_Drum	Lake_ErieSkin	SkinFreshwater_Drum
